studentId,class
1,6I
2,2O
3,5Y
4,10J
5,9O
6,5A
7,12T
8,11E
9,10N
10,11F
11,9C
12,9H
13,7Z
14,12L
15,8S
16,6M
17,3P
18,4G
19,1Z
20,6X
21,4L
22,7T
23,12K
24,3I
25,10M
26,2H
27,12O
28,2I
29,4F
30,8G
31,11M
32,7C
33,2U
34,10X
35,3E
36,6B
37,7R
38,4F
39,6T
40,7Y
41,6H
42,3C
43,12J
44,11M
45,1A
46,1J
47,11Z
48,10O
49,2F
50,11X
51,5L
52,6A
53,4B
54,9B
55,1K
56,10N
57,1G
58,5D
59,11U
60,1B
61,9T
62,10Z
63,2I
64,6K
65,6J
66,6Y
67,1I
68,5Y
69,11N
70,4E
71,10E
72,7P
73,2F
74,6G
75,1P
76,4J
77,8M
78,2Q
79,3Q
80,5U
81,1N
82,4A
83,4I
84,12R
85,3Y
86,11U
87,1S
88,12R
89,6P
90,7X
91,10D
92,9R
93,9M
94,10T
95,10C
96,1P
97,1Y
98,5D
99,7S
100,9H
101,2C
102,11U
103,5D
104,2Z
105,12F
106,11N
107,9U
108,2B
109,4T
110,11Y
111,6B
112,7F
113,5I
114,2F
115,4T
116,10Q
117,3G
118,12I
119,5E
120,2X
121,2U
122,6O
123,10S
124,12L
125,10D
126,11C
127,10B
128,12I
129,5A
130,2Z
131,7I
132,12W
133,1F
134,11D
135,4L
136,12H
137,7V
138,1T
139,6I
140,9N
141,1R
142,8X
143,2U
144,11B
145,2I
146,6F
147,7J
148,9W
149,12X
150,3G
151,8Z
152,4Y
153,10O
154,8R
155,8A
156,9R
157,2L
158,9J
159,5S
160,5U
161,9H
162,6Y
163,8P
164,7V
165,9U
166,11K
167,2S
168,6C
169,8O
170,1S
171,1T
172,8K
173,12C
174,12V
175,4O
176,4O
177,11R
178,4Y
179,4Z
180,4N
181,12G
182,4P
183,12I
184,12T
185,6L
186,10N
187,9Z
188,2P
189,6M
190,7K
191,3X
192,4R
193,11F
194,6I
195,2Z
196,9O
197,1C
198,2R
199,8V
200,9X
201,5I
202,12I
203,10C
204,7B
205,1R
206,10C
207,8Q
208,4P
209,10G
210,9Q
211,2Q
212,2P
213,4R
214,9G
215,8B
216,10H
217,12J
218,10F
219,9Z
220,6W
221,8V
222,2J
223,2H
224,2L
225,8V
226,7Y
227,7M
228,8R
229,7E
230,5V
231,4E
232,1L
233,5I
234,3O
235,6J
236,10F
237,4T
238,2T
239,10H
240,11Q
241,11K
242,4D
243,2F
244,10Z
245,5H
246,2F
247,1M
248,10R
249,5G
250,8W
251,10F
252,1E
253,7U
254,11Y
255,4Q
256,7J
257,9R
258,11G
259,6A
260,9R
261,1R
262,4I
263,8L
264,7Z
265,11K
266,9T
267,12C
268,2G
269,2X
270,5J
271,12V
272,7I
273,1S
274,11R
275,5I
276,1W
277,8M
278,2R
279,8U
280,9E
281,12U
282,5Q
283,7J
284,2S
285,11N
286,1U
287,7E
288,3S
289,6F
290,1Z
291,3P
292,5V
293,5M
294,7Z
295,5Z
296,3U
297,9T
298,9I
299,10D
300,7G
301,4M
302,12M
303,3A
304,10L
305,12H
306,2E
307,12G
308,8F
309,7U
310,6E
311,11M
312,11Y
313,10O
314,1H
315,6W
316,8R
317,7K
318,7A
319,3G
320,4C
321,12N
322,3V
323,7Z
324,2J
325,7N
326,10L
327,9D
328,10H
329,4K
330,2C
331,7A
332,11Q
333,4O
334,4F
335,11G
336,5V
337,9Z
338,4G
339,7K
340,9E
341,11R
342,5J
343,10O
344,4P
345,2I
346,11C
347,11I
348,8F
349,10K
350,2B
351,3A
352,8F
353,2V
354,2L
355,7K
356,12G
357,5G
358,7Q
359,2Q
360,11P
361,11J
362,11M
363,12V
364,12Y
365,3P
366,11I
367,3V
368,4A
369,2K
370,8Y
371,10C
372,4Z
373,10U
374,9X
375,2R
376,3H
377,10E
378,4F
379,5N
380,10C
381,8K
382,10E
383,5W
384,4B
385,3M
386,5D
387,8D
388,5U
389,2P
390,10O
391,2M
392,4O
393,11U
394,5X
395,7S
396,12L
397,10X
398,11S
399,9I
400,3K
401,7X
402,1Z
403,9A
404,9X
405,4C
406,5L
407,3S
408,11C
409,11C
410,7D
411,10O
412,9V
413,5H
414,11R
415,5D
