Maths,Physics,English,Economics,Biology,Group
90,90,45,45,95,1
92,55,17,99,61,1
39,90,97,46,79,1
89,23,47,50,99,1
27,50,90,98,49,1
87,37,11,80,12,1
35,92,73,72,77,1
58,89,61,75,66,1
33,81,61,33,13,1
86,53,49,13,59,1
22,98,34,65,24,1
20,36,61,46,72,1
72,43,12,23,33,1
98,81,98,56,44,1
82,79,58,13,50,1
98,83,51,51,12,1
98,57,74,32,68,1
49,10,25,64,44,1
65,22,83,95,91,1
48,65,49,35,82,1
93,97,74,17,76,1
96,50,88,50,33,1
96,60,63,47,24,1
98,67,23,17,39,1
93,11,19,28,63,1
70,57,27,50,12,1
70,82,62,86,83,1
89,27,75,86,45,1
58,82,37,33,13,1
42,37,40,28,81,1
32,52,28,58,69,2
26,46,21,66,49,2
79,81,24,52,53,2
31,65,36,40,24,2
20,78,18,15,22,2
13,76,95,98,32,2
48,75,11,52,50,2
83,15,75,13,70,2
46,26,53,82,81,2
16,86,77,61,25,2
38,52,61,64,45,2
92,38,60,86,64,2
67,23,73,80,28,2
46,81,51,44,95,2
85,67,35,58,97,2
35,51,58,42,70,2
82,87,75,77,51,2
11,36,39,36,70,2
88,81,43,33,12,2
19,74,92,74,90,2
56,55,40,57,98,2
69,98,40,27,64,2
69,72,49,37,92,2
48,89,49,58,42,2
81,64,30,62,60,2
49,10,58,13,10,2
84,41,33,52,63,2
35,65,62,88,27,2
57,90,61,52,53,2
14,67,60,41,38,2
11,98,67,53,68,3
37,63,30,61,31,3
40,87,26,76,78,3
31,99,65,36,56,3
66,85,66,70,57,3
12,49,19,57,42,3
40,26,98,29,20,3
21,50,46,90,37,3
43,56,43,88,91,3
45,18,19,44,66,3
90,71,22,53,78,3
39,63,28,57,75,3
49,17,69,87,22,3
12,22,30,46,87,3
68,90,63,42,24,3
27,63,37,36,10,3
59,57,61,36,56,3
71,50,65,27,72,3
12,22,61,38,71,3
69,21,47,91,17,3
63,99,48,66,65,3
55,28,12,83,77,3
75,24,24,82,37,3
96,13,62,12,69,3
93,65,76,87,56,3
98,35,17,35,59,3
78,55,86,17,23,3
52,90,58,36,41,3
92,16,19,73,94,3
81,82,65,38,12,3
10,71,58,63,23,4
82,56,21,69,64,4
56,79,55,49,50,4
26,81,36,41,33,4
47,56,76,84,13,4
38,49,98,70,30,4
37,63,62,95,32,4
84,34,33,10,64,4
99,93,52,52,37,4
80,41,50,36,96,4
37,67,82,52,31,4
17,14,79,75,88,4
99,19,13,93,40,4
32,17,16,54,61,4
18,89,67,94,48,4
91,84,68,12,62,4
37,84,46,75,16,4
64,94,29,36,80,4
59,29,15,71,26,4
49,44,81,43,72,4
23,99,63,74,30,4
89,69,12,45,70,4
92,66,97,17,55,4
52,75,67,96,58,4
72,62,66,18,99,4
77,16,96,95,32,4
74,15,50,54,86,4
89,79,96,18,26,4
25,32,67,31,14,4
67,94,70,42,40,4
84,77,30,59,63,5
49,70,81,21,32,5
82,40,65,20,42,5
52,79,64,95,30,5
26,10,11,38,88,5
19,65,15,70,25,5
26,64,14,61,22,5
70,26,43,98,40,5
18,42,94,61,99,5
82,63,94,52,81,5
78,29,27,29,29,5
51,63,10,55,61,5
83,57,22,15,43,5
74,87,20,58,22,5
76,16,84,60,93,5
59,40,24,96,34,5
42,68,47,73,98,5
95,86,95,88,78,5
35,91,70,23,96,5
99,94,60,43,24,5
77,93,50,72,21,5
53,45,88,55,99,5
68,68,77,67,92,5
19,77,42,86,14,5
61,86,80,86,54,5
65,87,20,65,74,5
27,19,57,73,23,5
12,25,37,11,90,5
16,37,20,21,61,5
72,82,20,61,16,5
15,48,44,66,32,6
79,81,73,85,42,6
84,27,38,47,50,6
50,88,18,72,52,6
94,21,68,21,27,6
29,93,33,31,28,6
16,22,80,11,22,6
47,23,69,89,87,6
12,45,19,48,28,6
15,51,71,32,90,6
41,56,52,28,16,6
86,92,14,81,97,6
24,41,89,70,91,6
53,54,87,17,29,6
64,30,40,43,63,6
86,34,15,82,34,6
36,47,55,43,71,6
53,41,30,38,48,6
24,40,90,88,93,6
77,32,28,14,16,6
50,65,91,51,67,6
78,54,81,12,48,6
33,68,89,50,36,6
39,22,44,86,69,6
66,29,40,13,34,6
29,46,34,81,26,6
26,86,17,68,14,6
66,49,29,48,87,6
35,58,75,33,17,6
98,41,34,94,10,6
17,55,62,51,23,7
48,11,23,21,64,7
50,23,64,47,24,7
96,68,26,49,62,7
23,59,10,41,72,7
76,26,82,38,34,7
99,20,19,35,48,7
72,15,83,35,23,7
22,65,76,24,97,7
80,60,41,12,55,7
53,48,95,10,53,7
46,91,85,42,80,7
45,12,70,34,86,7
91,16,14,68,46,7
62,10,53,82,57,7
12,30,54,91,20,7
39,30,69,34,51,7
98,70,17,87,40,7
73,17,26,70,22,7
37,63,82,74,15,7
61,68,92,28,52,7
78,33,85,17,52,7
82,93,36,79,47,7
70,98,20,21,94,7
83,37,31,88,35,7
43,61,77,38,72,7
24,66,81,25,29,7
26,84,39,48,58,7
61,64,68,53,32,7
73,29,71,11,62,7
57,66,16,50,77,8
86,53,50,30,30,8
57,97,66,61,71,8
11,35,32,26,21,8
61,51,13,27,56,8
72,51,32,78,13,8
89,84,86,50,26,8
30,31,15,73,18,8
16,31,40,17,46,8
86,23,49,41,98,8
42,90,26,44,79,8
20,33,18,75,40,8
64,86,81,42,24,8
11,74,61,33,65,8
54,23,97,15,62,8
63,37,89,90,32,8
99,23,65,63,96,8
33,18,65,58,79,8
58,37,92,23,75,8
15,41,83,96,62,8
74,41,28,80,76,8
60,14,94,21,49,8
69,25,79,55,90,8
87,91,19,76,59,8
27,66,72,86,36,8
28,17,81,32,88,8
58,76,68,84,79,8
54,63,64,84,58,8
65,95,56,72,21,8
74,92,66,13,69,8
78,72,55,70,38,9
87,60,69,30,24,9
80,57,51,94,38,9
26,77,13,75,51,9
54,32,81,91,31,9
96,41,22,13,64,9
87,52,91,76,84,9
31,78,82,26,27,9
47,90,44,60,63,9
55,48,18,98,11,9
69,99,53,15,95,9
71,94,95,29,40,9
35,58,99,50,45,9
71,58,58,94,72,9
46,70,94,25,16,9
98,18,18,58,46,9
66,24,81,92,73,9
15,71,15,19,31,9
24,57,45,95,34,9
25,90,65,14,58,9
94,54,65,64,83,9
42,80,54,54,62,9
91,61,86,69,50,9
19,80,56,31,47,9
23,94,24,87,85,9
62,42,22,56,48,9
70,79,61,90,49,9
61,38,70,82,75,9
83,67,77,68,69,9
50,19,32,29,98,9
90,98,51,85,36,10
11,93,95,92,90,10
85,92,67,27,37,10
49,75,37,65,38,10
57,95,13,50,85,10
95,22,18,29,56,10
20,85,98,43,77,10
56,68,46,26,76,10
74,88,84,28,59,10
99,95,54,49,34,10
37,28,45,47,92,10
21,62,96,50,19,10
64,84,92,69,48,10
81,62,59,24,93,10
75,68,71,97,34,10
66,96,85,47,34,10
70,36,75,66,29,10
46,16,78,15,71,10
43,40,60,99,84,10
91,80,78,14,48,10
44,88,70,98,96,10
38,98,27,39,23,10
34,25,44,32,63,10
91,39,14,29,34,10
67,26,12,31,66,10
84,15,81,35,67,10
34,28,91,97,59,10
61,50,44,37,66,10
77,13,37,58,52,10
80,63,45,68,95,10
76,92,25,46,90,11
47,29,55,19,37,11
48,58,90,31,12,11
25,85,68,81,13,11
36,30,80,35,97,11
96,79,72,95,42,11
67,59,72,64,87,11
36,89,19,87,49,11
71,14,15,13,47,11
82,47,13,87,79,11
55,96,44,41,59,11
35,24,34,62,54,11
69,24,90,21,90,11
87,31,49,40,57,11
80,34,57,65,64,11
58,44,34,74,31,11
87,97,48,15,51,11
80,94,57,56,17,11
69,88,38,65,16,11
13,35,56,85,30,11
50,88,64,18,80,11
29,52,23,80,44,11
55,46,38,48,70,11
74,54,10,84,92,11
